label;logFC;logCPM;FDR;Regulation;Gene_ID
HOP3;7.17754407705508;-16.3384174865424;0;Up;AT4G12400.2
ROF2;6.58254041231709;-15.0484560283826;0;Up;AT5G48570.1
AT5G12110;5.61543222330268;-15.9546430586203;0;Up;AT5G12110.1
TIN1;5.13057829761306;-17.8422247689135;0;Up;AT5G64510.1
HSP17.6B;8.11295175709751;-14.4146088026664;8.94674680912543e-259;Up;AT2G29500.1
HSP23.6-MITO;9.18807753702283;-16.0983692570886;2.08397372030843e-250;Up;AT4G25200.1
HSP18.5;3.82729781688461;-16.2216445381751;3.89156740602384e-220;Up;AT2G19310.1
BIA;3.84827509569241;-17.4143389174818;1.45998433924653e-215;Up;AT3G24100.1
SR45A;3.36287810309147;-16.4910385917756;1.07669637204787e-202;Up;AT1G07350.1
HSP101;4.45136705203576;-16.7422960660651;2.06456580940484e-196;Up;AT1G74310.1
HSP17.4;8.81654101126997;-15.3215128528499;1.68134364564441e-189;Up;AT3G46230.1
HSP90.1;6.46302353331332;-14.8873893625458;6.05367447171541e-187;Up;AT5G52640.1
HSFA2;5.87571158772324;-17.8849974721974;3.85629802585392e-183;Up;AT2G26150.1
DRG1-3;7.46302148845122;-18.5491890471908;1.08552179360765e-178;Up;AT1G72660.1
HSP17.6A;7.66625463161603;-16.2587462546694;6.21167085090607e-166;Up;AT5G12030.1
DJC76;3.3845150558011;-16.7834865374693;2.59723366841688e-158;Up;AT5G23240.1
DJC53;2.52359065217619;-16.9930409026015;5.35367496496451e-153;Up;AT1G56300.1
HSP70T-2;4.2325414315985;-18.6599599012997;4.20822334491401e-152;Up;AT2G32120.1
HSP17.4B;3.90903462177004;-18.2546506116626;2.82656245745566e-145;Up;AT1G54050.1
BAG6;3.81270947092847;-16.8391267161684;2.71752272455426e-144;Up;AT2G46240.1
SR30;2.45201384478165;-16.4847445535477;6.56362559379723e-143;Up;AT1G09140.1
MBF1C;4.40750440385496;-16.5444124297468;4.95366523822849e-142;Up;AT3G24500.1
FD1;2.28944147454178;-15.6094555872923;7.77029667854557e-141;Up;AT1G10960.1
PDX1.2;3.09888989889429;-19.0637535536178;1.6045178158787e-134;Up;AT3G16050.1
AT5G25450;5.98781236319562;-19.2771347304275;4.32070953196065e-131;Up;AT5G25450.1
CCR2;3.06661596500104;-12.8873709900251;2.50182279638314e-130;Up;AT2G21660.1
AT3G12050;2.14962219176783;-16.961786888081;8.38885029285205e-129;Up;AT3G12050.1
HSP17.8;7.0183096644807;-17.0169857912623;2.8749962958971e-124;Up;AT1G07400.1
VHA-E3;2.73859882606781;-17.6796116141254;5.22496191923228e-124;Up;AT1G64200.1
TRFL3;2.84340349297042;-19.4044150871309;1.00922940421216e-123;Up;AT1G17460.2
AT5G57150;3.13759487499922;-17.5145006840336;4.25522983744822e-122;Up;AT5G57150.4
IPGAM1;-2.39021035030433;-17.4461322161558;1.04288141802411e-119;Down;AT1G09780.1
LNK3;-1.95396232761859;-18.8510103826595;1.71558847014856e-119;Down;AT3G12320.1
