TF,EDGE_TYPE,ANALYSIS,TARGET,Log2FC,Pvalue,analysis_id,gene_id,gene_name,ANALYSIS_CUTOFF,ANALYSIS_METHOD,CONTROL,DATA_SOURCE/PUBLICATION,DOI,EXPERIMENT_TYPE,GENOTYPE,GROWTH_MEDIUM,GROWTH_PERIOD_DAYS,TECHNOLOGY/METHOD,TISSUE/SAMPLE,TREATMENTS,TREATMENT_TIME
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G01370,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G01390,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G01790,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G02300,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G02820,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G03070,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G04620,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G06080,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G06090,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G07050,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G08160,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G08300,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G08840,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G08930,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G09200,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G09780,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G09950,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G10040,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G10417,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G11210,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G11260,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G12370,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G14470,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G14580,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G14880,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G15660,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G16530,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G16720,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G17147,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G17665,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', '37d632b4-1a1a-4c12-9182-0b3bf3ff9f1b')",in vitro:Bound:DAP,2650,AT1G17940,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
