,from,to,pval,fdr,value
1,AT5G43840,AT4G17470,0.000999000999000999,0.00440960313571779,2
2,AT1G52890,AT4G24000,0.000999000999000999,0.00440960313571779,2
3,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G22235,0.002997002997003,0.00906953308700034,2
4,AT5G59570,AT3G22235,0.012987012987013,0.0173410404624277,2
5,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G22231,0.002997002997003,0.00906953308700034,2
6,AT5G59570,AT3G22231,0.00599400599400599,0.0121457489878542,2
7,AT5G43840,AT1G52690,0.000999000999000999,0.00440960313571779,2
8,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G50360,0.012987012987013,0.0173410404624277,2
9,AT1G52890,AT5G50360,0.00899100899100899,0.0142907551164432,2
10,AT1G66390,AT5G10625,0.004995004995005,0.011094674556213,2
11,AT1G44830,AT5G65390,0.000999000999000999,0.00440960313571779,2
12,AT1G66390,AT4G08570,0.002997002997003,0.00906953308700034,2
13,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G08570,0.000999000999000999,0.00440960313571779,2
14,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT1G35140,0.010989010989011,0.0155733836715432,2
15,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G52890,0.000999000999000999,0.00440960313571779,2
16,AT1G52890,AT1G61800,0.000999000999000999,0.00440960313571779,2
17,AT1G66390,AT1G61800,0.00699300699300699,0.0128887070376432,2
18,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT5G03350,0.001998001998002,0.00728744939271255,2
19,AT5G59570,AT5G03350,0.00899100899100899,0.0142907551164432,2
20,AT2G41240,AT1G47400,0.000999000999000999,0.00440960313571779,2
21,AT1G52890,AT1G80160,0.000999000999000999,0.00440960313571779,2
22,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G18980,0.010989010989011,0.0155733836715432,2
23,AT1G52890,AT4G18980,0.015984015984016,0.0198156047887712,2
24,AT4G32280,AT1G75830,0.003996003996004,0.0103329506314581,2
25,AT2G40740,AT1G75830,0.013986013986014,0.0180826636050517,2
26,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G02410,0.000999000999000999,0.00440960313571779,2
27,AT3G07650,AT3G02410,0.011988011988012,0.0163859808830223,2
28,AT5G59570,AT5G01015,0.002997002997003,0.00906953308700034,2
29,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G01015,0.00899100899100899,0.0142907551164432,2
30,AT1G14580,AT5G01015,0.00599400599400599,0.0121457489878542,2
31,AT5G24330,AT5G16080,0.003996003996004,0.0103329506314581,2
32,AT4G21550,AT5G16080,0.004995004995005,0.011094674556213,2
33,AT2G40740,AT4G20000,0.001998001998002,0.00728744939271255,2
34,AT1G62300,AT4G20000,0.014985014985015,0.0189155107187894,2
35,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G59310,0.001998001998002,0.00728744939271255,2
36,AT1G52890,AT5G59310,0.002997002997003,0.00906953308700034,2
37,AT5G59570,AT5G48490,0.00599400599400599,0.0121457489878542,2
38,AT1G14580,AT5G48490,0.003996003996004,0.0103329506314581,2
39,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G48490,0.00699300699300699,0.0128887070376432,2
40,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G13170,0.000999000999000999,0.00440960313571779,2
41,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G22690,0.000999000999000999,0.00440960313571779,2
42,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G48080,0.000999000999000999,0.00440960313571779,2
43,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G59320,0.001998001998002,0.00728744939271255,2
44,AT1G52890,AT5G59320,0.00899100899100899,0.0142907551164432,2
45,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT2G27402,0.001998001998002,0.00728744939271255,2
46,AT1G14580,AT2G27402,0.00899100899100899,0.0142907551164432,2
47,AT5G59570,AT1G72610,0.001998001998002,0.00728744939271255,2
48,AT1G14580,AT1G72610,0.012987012987013,0.0173410404624277,2
49,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G72610,0.00599400599400599,0.0121457489878542,2
50,AT4G32280,AT2G43870,0.001998001998002,0.00728744939271255,2
51,AT1G62300,AT2G43870,0.00699300699300699,0.0128887070376432,2
52,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G15250,0.000999000999000999,0.00440960313571779,2
53,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT4G31000,0.000999000999000999,0.00440960313571779,2
54,AT4G32280,AT1G60680,0.000999000999000999,0.00440960313571779,2
55,AT2G40740,AT1G58225,0.000999000999000999,0.00440960313571779,2
56,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT4G19430,0.000999000999000999,0.00440960313571779,2
57,AT1G71030,AT3G54830,0.004995004995005,0.011094674556213,2
58,mean_AT1G78930-AT5G44260-AT4G25470-AT1G57560,AT3G54830,0.000999000999000999,0.00440960313571779,2
59,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G02850,0.000999000999000999,0.00440960313571779,2
60,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT2G38860,0.011988011988012,0.0163859808830223,2
61,AT2G33710,AT2G38860,0.012987012987013,0.0173410404624277,2
62,AT1G29860,AT2G38860,0.00899100899100899,0.0142907551164432,2
