,from,to,pval,fdr,value
1,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G59320,0.000999000999000999,0.00264886628522992,2
2,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G18980,0.000999000999000999,0.00264886628522992,2
3,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G59310,0.000999000999000999,0.00264886628522992,2
4,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G13170,0.000999000999000999,0.00264886628522992,2
5,AT2G41240,AT1G47400,0.000999000999000999,0.00264886628522992,2
6,AT4G32280,AT2G43870,0.002997002997003,0.00639604298140884,2
7,AT1G62300,AT2G43870,0.003996003996004,0.00803793907242183,2
8,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT3G21460,0.000999000999000999,0.00264886628522992,2
9,AT5G24330,AT3G21460,0.00799200799200799,0.014418571119602,2
10,AT5G44210,AT3G28635,0.000999000999000999,0.00264886628522992,2
11,AT4G32280,AT5G18050,0.002997002997003,0.00639604298140884,2
12,AT3G51910,AT5G18050,0.001998001998002,0.00460066249539934,2
13,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G22690,0.004995004995005,0.00971250971250971,2
14,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT1G22690,0.003996003996004,0.00803793907242183,2
15,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G02850,0.000999000999000999,0.00264886628522992,2
16,AT4G32280,AT1G66930,0.003996003996004,0.00803793907242183,2
17,AT3G51910,AT1G66930,0.00999000999000999,0.0174825174825175,2
18,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G15250,0.000999000999000999,0.00264886628522992,2
19,AT3G51910,AT3G50970,0.000999000999000999,0.00264886628522992,2
20,mean_AT5G39610-AT3G15500,AT2G23110,0.000999000999000999,0.00264886628522992,2
21,AT1G07050,AT1G76470,0.000999000999000999,0.00264886628522992,2
22,AT4G32280,AT1G75830,0.000999000999000999,0.00264886628522992,2
23,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G08570,0.002997002997003,0.00639604298140884,2
24,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G52990,0.000999000999000999,0.00264886628522992,2
25,AT1G62300,AT4G32280,0.001998001998002,0.00460066249539934,2
26,AT3G51910,AT4G32280,0.001998001998002,0.00460066249539934,2
27,AT5G44210,AT3G09940,0.002997002997003,0.00639604298140884,2
28,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G30010,0.000999000999000999,0.00264886628522992,2
29,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT3G20395,0.00799200799200799,0.014418571119602,2
30,AT3G51910,AT3G20395,0.001998001998002,0.00460066249539934,2
31,AT4G28140,AT1G32950,0.000999000999000999,0.00264886628522992,2
32,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G27402,0.000999000999000999,0.00264886628522992,2
33,AT3G14740,AT2G27402,0.000999000999000999,0.00264886628522992,2
34,AT3G46640,AT1G75750,0.000999000999000999,0.00264886628522992,2
35,AT5G24330,AT5G16080,0.001998001998002,0.00460066249539934,2
36,AT4G21550,AT5G16080,0.004995004995005,0.00971250971250971,2
37,AT3G14740,AT2G21650,0.011988011988012,0.0203679815330301,2
38,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G21650,0.003996003996004,0.00803793907242183,2
39,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT2G21650,0.011988011988012,0.0203679815330301,2
40,AT3G51910,AT1G54040,0.000999000999000999,0.00264886628522992,2
41,AT3G51910,AT3G53250,0.001998001998002,0.00460066249539934,2
42,AT4G32280,AT3G53250,0.00699300699300699,0.0131588841266261,2
43,AT5G43290,AT3G23550,0.000999000999000999,0.00264886628522992,2
44,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G21820,0.000999000999000999,0.00264886628522992,2
45,AT1G07050,AT1G16370,0.00599400599400599,0.0114016418364244,2
46,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G16370,0.022977022977023,0.0375792431867198,2
47,AT4G21550,AT5G24330,0.000999000999000999,0.00264886628522992,2
48,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT1G80660,0.000999000999000999,0.00264886628522992,2
49,AT4G00870,ATMG00030,0.00999000999000999,0.0174825174825175,2
50,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G48490,0.001998001998002,0.00460066249539934,2
51,mean_AT4G01720-AT5G46350,AT5G51465,0.000999000999000999,0.00264886628522992,2
52,AT4G21550,AT1G55940,0.000999000999000999,0.00264886628522992,2
53,AT4G00870,AT1G28135,0.000999000999000999,0.00264886628522992,2
54,AT1G01060,AT2G28560,0.000999000999000999,0.00264886628522992,2
55,AT5G24330,AT5G38930,0.000999000999000999,0.00264886628522992,2
56,AT4G21550,AT5G13230,0.000999000999000999,0.00264886628522992,2
57,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G65690,0.002997002997003,0.00639604298140884,2
58,AT5G44210,AT5G65690,0.021978021978022,0.0362844702467344,2
59,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G60970,0.001998001998002,0.00460066249539934,2
60,mean_AT5G39610-AT3G15500,AT1G60970,0.002997002997003,0.00639604298140884,2
61,mean_AT1G78930-AT5G44260,AT3G46700,0.000999000999000999,0.00264886628522992,2
62,AT2G33710,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,0.00799200799200799,0.014418571119602,2
63,AT1G62300,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,0.00599400599400599,0.0114016418364244,2
64,AT2G33710,AT1G51800,0.000999000999000999,0.00264886628522992,2
65,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G27670,0.000999000999000999,0.00264886628522992,2
66,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G34080,0.000999000999000999,0.00264886628522992,2
67,AT3G14740,AT5G45630,0.00799200799200799,0.014418571119602,2
68,AT5G03720,AT5G45630,0.012987012987013,0.0218531468531469,2
69,AT3G46640,AT4G19430,0.001998001998002,0.00460066249539934,2
70,AT3G51910,AT4G19430,0.003996003996004,0.00803793907242183,2
71,AT5G24330,AT5G45700,0.000999000999000999,0.00264886628522992,2
72,AT3G23230,AT1G56240,0.000999000999000999,0.00264886628522992,2
73,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G04380,0.004995004995005,0.00971250971250971,2
74,AT5G43290,AT5G04380,0.010989010989011,0.019040365575019,2
75,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT2G40740,0.000999000999000999,0.00264886628522992,2
76,AT4G00870,ATMG00510,0.000999000999000999,0.00264886628522992,2
77,AT3G51910,AT5G55620,0.000999000999000999,0.00264886628522992,2
78,mean_AT4G01720-AT5G46350,AT4G25070,0.000999000999000999,0.00264886628522992,2
79,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT3G22060,0.000999000999000999,0.00264886628522992,2
80,AT3G23230,mean_AT4G01720-AT5G46350,0.000999000999000999,0.00264886628522992,2
81,AT1G07050,AT5G27330,0.000999000999000999,0.00264886628522992,2
82,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G03204,0.000999000999000999,0.00264886628522992,2
83,AT5G44210,AT2G20870,0.000999000999000999,0.00264886628522992,2
84,AT3G07650,AT3G02410,0.001998001998002,0.00460066249539934,2
85,mean_AT4G01720-AT5G46350,AT4G23220,0.000999000999000999,0.00264886628522992,2
86,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT3G59710,0.000999000999000999,0.00264886628522992,2
87,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT3G25100,0.000999000999000999,0.00264886628522992,2
88,mean_AT4G01720-AT5G46350,AT1G02360,0.000999000999000999,0.00264886628522992,2
89,AT1G07050,AT1G62510,0.000999000999000999,0.00264886628522992,2
90,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G54190,0.000999000999000999,0.00264886628522992,2
91,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT3G51910,0.000999000999000999,0.00264886628522992,2
92,AT1G62300,AT3G51910,0.00899100899100899,0.0160553731982303,2
93,mean_AT5G39610-AT3G15500,AT1G44970,0.000999000999000999,0.00264886628522992,2
94,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT5G57010,0.000999000999000999,0.00264886628522992,2
95,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT1G26420,0.000999000999000999,0.00264886628522992,2
96,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT4G00970,0.000999000999000999,0.00264886628522992,2
97,AT3G23230,AT1G26380,0.000999000999000999,0.00264886628522992,2
98,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G14819,0.000999000999000999,0.00264886628522992,2
99,mean_AT4G01720-AT5G46350,AT4G14365,0.000999000999000999,0.00264886628522992,2
100,AT3G46640,AT5G01740,0.000999000999000999,0.00264886628522992,2
101,mean_AT5G39610-AT3G15500,AT4G32480,0.000999000999000999,0.00264886628522992,2
102,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT4G30910,0.000999000999000999,0.00264886628522992,2
103,AT3G23230,AT3G57240,0.000999000999000999,0.00264886628522992,2
104,AT2G40740,AT1G10040,0.000999000999000999,0.00264886628522992,2
105,AT5G44210,AT2G24850,0.018981018981019,0.0316350316350316,2
106,AT2G40740,AT4G15417,0.000999000999000999,0.00264886628522992,2
107,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT5G54165,0.000999000999000999,0.00264886628522992,2
