,from,to,pval,fdr,value
1,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G59320,0.000999000999000999,0.00277500277500278,2
2,AT2G41240,AT1G47400,0.000999000999000999,0.00277500277500278,2
3,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G18980,0.000999000999000999,0.00277500277500278,2
4,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G13170,0.000999000999000999,0.00277500277500278,2
5,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G59310,0.000999000999000999,0.00277500277500278,2
6,AT4G32280,AT2G43870,0.002997002997003,0.00718459622569212,2
7,AT1G62300,AT2G43870,0.00599400599400599,0.0129500129500129,2
8,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT3G21460,0.000999000999000999,0.00277500277500278,2
9,AT5G24330,AT3G21460,0.002997002997003,0.00718459622569212,2
10,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G08570,0.000999000999000999,0.00277500277500278,2
11,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G02850,0.000999000999000999,0.00277500277500278,2
12,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G27402,0.000999000999000999,0.00277500277500278,2
13,AT3G14740,AT2G27402,0.000999000999000999,0.00277500277500278,2
14,AT5G44210,AT3G28635,0.000999000999000999,0.00277500277500278,2
15,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G15250,0.000999000999000999,0.00277500277500278,2
16,AT5G24330,AT5G16080,0.000999000999000999,0.00277500277500278,2
17,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G30010,0.000999000999000999,0.00277500277500278,2
18,AT5G44210,AT3G09940,0.000999000999000999,0.00277500277500278,2
19,AT4G00870,ATMG00030,0.00699300699300699,0.0147442918527256,2
20,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G22690,0.000999000999000999,0.00277500277500278,2
21,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT1G22690,0.00999000999000999,0.0200948476810546,2
22,AT3G14740,AT1G22690,0.00999000999000999,0.0200948476810546,2
23,mean_AT5G39610-AT3G15500,AT2G23110,0.000999000999000999,0.00277500277500278,2
24,AT4G32280,AT1G66930,0.000999000999000999,0.00277500277500278,2
25,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G21820,0.000999000999000999,0.00277500277500278,2
26,AT4G32280,AT1G75830,0.000999000999000999,0.00277500277500278,2
27,AT4G32280,AT5G18050,0.002997002997003,0.00718459622569212,2
28,AT3G51910,AT5G18050,0.00799200799200799,0.0166500166500167,2
29,AT3G51910,AT3G20395,0.002997002997003,0.00718459622569212,2
30,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT3G20395,0.004995004995005,0.0113522840795568,2
31,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT2G21650,0.014985014985015,0.0294649171053665,2
32,AT3G14740,AT2G21650,0.00599400599400599,0.0129500129500129,2
33,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G21650,0.011988011988012,0.0238397965670693,2
34,AT4G00870,AT5G06043,0.022977022977023,0.0427763725636066,2
35,AT3G51910,AT3G50970,0.000999000999000999,0.00277500277500278,2
36,AT1G07050,AT1G76470,0.001998001998002,0.00529773257045984,2
37,AT5G24330,AT5G38930,0.000999000999000999,0.00277500277500278,2
38,AT4G21550,AT5G24330,0.000999000999000999,0.00277500277500278,2
39,AT4G28140,AT1G32950,0.000999000999000999,0.00277500277500278,2
40,AT3G51910,AT1G54040,0.00699300699300699,0.0147442918527256,2
41,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT1G54040,0.00899100899100899,0.018510900863842,2
42,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT1G54040,0.020979020979021,0.0403442711135019,2
43,AT5G43290,AT3G23550,0.000999000999000999,0.00277500277500278,2
44,AT3G51910,AT4G32280,0.001998001998002,0.00529773257045984,2
45,AT1G62300,AT4G32280,0.000999000999000999,0.00277500277500278,2
46,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G52990,0.000999000999000999,0.00277500277500278,2
47,AT5G43290,AT1G52990,0.001998001998002,0.00529773257045984,2
48,AT3G51910,AT3G53250,0.000999000999000999,0.00277500277500278,2
49,AT3G46640,AT1G75750,0.000999000999000999,0.00277500277500278,2
50,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G03204,0.000999000999000999,0.00277500277500278,2
51,AT4G00870,AT1G28135,0.000999000999000999,0.00277500277500278,2
52,mean_AT4G01720-AT5G46350,AT5G51465,0.000999000999000999,0.00277500277500278,2
53,AT3G07650,AT3G02410,0.002997002997003,0.00718459622569212,2
54,AT5G24330,AT5G45700,0.000999000999000999,0.00277500277500278,2
55,AT3G46640,AT4G19430,0.000999000999000999,0.00277500277500278,2
56,AT3G51910,AT4G19430,0.002997002997003,0.00718459622569212,2
57,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G04380,0.00599400599400599,0.0129500129500129,2
58,AT5G43290,AT5G04380,0.021978021978022,0.0418060200668896,2
59,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT3G51910,0.000999000999000999,0.00277500277500278,2
60,AT4G32280,AT3G51910,0.003996003996004,0.00945000945000945,2
61,AT1G62300,AT3G51910,0.004995004995005,0.0113522840795568,2
62,AT5G43290,AT2G21840,0.000999000999000999,0.00277500277500278,2
63,AT1G07050,AT1G16370,0.00599400599400599,0.0129500129500129,2
64,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G16370,0.022977022977023,0.0427763725636066,2
65,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G48490,0.000999000999000999,0.00277500277500278,2
66,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT5G54165,0.000999000999000999,0.00277500277500278,2
67,AT5G44210,AT5G65690,0.020979020979021,0.0403442711135019,2
68,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G65690,0.004995004995005,0.0113522840795568,2
69,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT3G59710,0.000999000999000999,0.00277500277500278,2
70,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT1G80660,0.000999000999000999,0.00277500277500278,2
71,mean_AT4G01720-AT5G46350,AT2G07835,0.000999000999000999,0.00277500277500278,2
72,AT5G03720,AT5G45630,0.000999000999000999,0.00277500277500278,2
73,AT4G21550,AT1G55940,0.000999000999000999,0.00277500277500278,2
74,AT4G21550,AT5G13230,0.000999000999000999,0.00277500277500278,2
75,AT3G23230,AT1G56240,0.000999000999000999,0.00277500277500278,2
76,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G73040,0.000999000999000999,0.00277500277500278,2
77,AT4G00870,AT2G41480,0.000999000999000999,0.00277500277500278,2
78,AT3G51910,AT5G55620,0.000999000999000999,0.00277500277500278,2
79,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G14819,0.000999000999000999,0.00277500277500278,2
80,AT3G46640,AT2G28560,0.002997002997003,0.00718459622569212,2
81,AT1G01060,AT2G28560,0.000999000999000999,0.00277500277500278,2
82,AT2G40740,AT1G58225,0.000999000999000999,0.00277500277500278,2
83,AT2G33710,AT1G51800,0.000999000999000999,0.00277500277500278,2
84,AT3G51910,AT1G13470,0.000999000999000999,0.00277500277500278,2
85,AT3G51910,AT2G20142,0.000999000999000999,0.00277500277500278,2
86,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G27670,0.000999000999000999,0.00277500277500278,2
87,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G48700,0.000999000999000999,0.00277500277500278,2
88,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT1G21100,0.000999000999000999,0.00277500277500278,2
89,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT2G34080,0.000999000999000999,0.00277500277500278,2
90,mean_AT5G24110-AT3G12910-AT5G56960-AT2G37430,AT2G02930,0.000999000999000999,0.00277500277500278,2
91,mean_AT4G01720-AT5G46350,AT1G76994,0.000999000999000999,0.00277500277500278,2
92,AT4G00870,ATMG00060,0.000999000999000999,0.00277500277500278,2
93,AT1G62300,AT1G32960,0.000999000999000999,0.00277500277500278,2
94,mean_AT5G39610-AT3G15500,AT1G44970,0.000999000999000999,0.00277500277500278,2
