,from,to,weight,value
1,AT5G43840,AT4G17470,0.168750650786135,0.168750650786135
2,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G22235,0.164343522807665,0.164343522807665
3,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G22231,0.160207619398326,0.160207619398326
4,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G02410,0.158448460481797,0.158448460481797
5,AT1G66390,AT5G10625,0.155015555362667,0.155015555362667
6,AT1G52890,AT4G24000,0.154931102230747,0.154931102230747
7,AT2G41240,AT1G47400,0.145740601790105,0.145740601790105
8,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G59310,0.144877428958275,0.144877428958275
9,AT5G43840,AT1G52690,0.141371068149042,0.141371068149042
10,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G52890,0.141011212531348,0.141011212531348
11,AT1G66390,AT4G08570,0.136500080530066,0.136500080530066
12,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT5G03350,0.136184499391946,0.136184499391946
13,AT1G44830,AT5G65390,0.13403708235469,0.13403708235469
14,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G50360,0.131740259584023,0.131740259584023
15,AT4G32280,AT1G75830,0.129604474909429,0.129604474909429
16,AT1G52890,AT1G61800,0.129543149896183,0.129543149896183
17,AT5G43840,AT1G66390,0.129421051158784,0.129421051158784
18,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G13170,0.12806865817633,0.12806865817633
19,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G18980,0.126598247910894,0.126598247910894
20,AT4G32280,AT2G43870,0.125869215312931,0.125869215312931
21,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G15250,0.125579845556818,0.125579845556818
22,AT5G59570,AT1G72610,0.125137052924283,0.125137052924283
23,AT5G59570,AT5G01015,0.12506543026697,0.12506543026697
24,AT1G52890,AT5G50360,0.124867062443206,0.124867062443206
25,AT1G52890,AT1G80160,0.124830001159576,0.124830001159576
26,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G59320,0.123611622023092,0.123611622023092
27,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT1G35140,0.123055988460283,0.123055988460283
28,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,ATCG00580,0.12059651984492,0.12059651984492
29,AT2G28500,AT1G77330,0.119601109091925,0.119601109091925
30,mean_AT4G01720-AT5G46350-AT3G17609,AT2G21650,0.119377585488748,0.119377585488748
