,from,to,weight,value
1,AT2G41240,AT1G47400,0.233953290738577,0.233953290738577
2,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G59320,0.222327186879203,0.222327186879203
3,mean_AT1G78930-AT5G44260,ATCG00580,0.214163137634637,0.214163137634637
4,mean_AT1G78930-AT5G44260,AT2G07706,0.210541695244483,0.210541695244483
5,mean_AT1G78930-AT5G44260,ATCG00270,0.21035237781752,0.21035237781752
6,mean_AT1G78930-AT5G44260,AT1G49700,0.204687055948638,0.204687055948638
7,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G18980,0.203313822314176,0.203313822314176
8,mean_AT1G78930-AT5G44260,AT2G01021,0.2024881384567,0.2024881384567
9,mean_AT1G78930-AT5G44260,ATCG00490,0.202242306723127,0.202242306723127
10,mean_AT1G78930-AT5G44260,ATCG01050,0.201998718669868,0.201998718669868
11,mean_AT1G78930-AT5G44260,ATCG00020,0.201464348734544,0.201464348734544
12,mean_AT1G78930-AT5G44260,ATCG00040,0.198938796820104,0.198938796820104
13,mean_AT1G78930-AT5G44260,ATCG00510,0.198707171166974,0.198707171166974
14,mean_AT1G78930-AT5G44260,ATCG00280,0.19813867207318,0.19813867207318
15,mean_AT1G78930-AT5G44260,ATCG00710,0.194846063003495,0.194846063003495
16,mean_AT1G78930-AT5G44260,ATCG00690,0.19383886427018,0.19383886427018
17,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G59310,0.193765419199375,0.193765419199375
18,AT4G32280,AT2G43870,0.193537964674367,0.193537964674367
19,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G13170,0.19313751203763,0.19313751203763
20,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G08570,0.193083372302639,0.193083372302639
21,mean_AT1G78930-AT5G44260,ATCG00730,0.191344802683764,0.191344802683764
