lfc;density;fdr;method;time;n_edges_before;n_edges_after;genes;regulators;precision
2;0.03;0.05;testing;6;525;434;668;46;49.34
2;0.03;0.05;before testing;0;525;525;668;46;49.83
2;0.03;0.05;same edges;0;434;434;668;46;48.42
2;0.03;0.01;testing;6;525;217;668;46;47.01
2;0.03;0.01;before testing;0;525;525;668;46;49.83
2;0.03;0.01;same edges;0;217;217;668;46;40.79
2;0.01;0.05;testing;3;175;107;668;46;43.75
2;0.01;0.05;before testing;0;175;175;668;46;35.56
2;0.01;0.05;same edges;0;107;107;668;46;15.38
2;0.01;0.01;testing;3;175;90;668;46;41.67
2;0.01;0.01;before testing;0;175;175;668;46;35.56
2;0.01;0.01;same edges;0;90;90;668;46;10.0
1,5;0.03;0.05;testing;16;2078;1418;1348;93;33.16
1,5;0.03;0.05;before testing;0;2078;2078;1348;93;33.33
1,5;0.03;0.05;same edges;0;1418;1418;1348;93;34.76
1,5;0.03;0.01;testing;16;2078;239;1348;93;24.79
1,5;0.03;0.01;before testing;0;2078;2078;1348;93;33.33
1,5;0.03;0.01;same edges;0;239;239;1348;93;35.71
1,5;0.01;0.05;testing;8;693;634;1348;93;37.24
1,5;0.01;0.05;before testing;0;693;693;1348;93;34.85
1,5;0.01;0.05;same edges;0;634;634;1348;93;34.69
1,5;0.01;0.01;testing;8;693;229;1348;93;26.29
1,5;0.01;0.01;before testing;0;693;693;1348;93;34.85
1,5;0.01;0.01;same edges;0;229;229;1348;93;34.39
