density,fdr,strategy,replicate,precision,recall
0.0025,0.1,testing,1,0.0154613466334165,0.00941390829031278
0.0025,0.1,before testing,1,0.0154459392127554,0.00941390829031278
0.0025,0.1,same n edges,1,0.0154613466334165,0.00941390829031278
0.0025,0.05,testing,1,0.0150300601202405,0.00911023382933495
0.0025,0.05,before testing,1,0.0154459392127554,0.00941390829031278
0.0025,0.05,same n edges,1,0.0155388471177945,0.00941390829031278
0.0025,0.01,testing,1,0.016301292861158,0.00880655936835712
0.0025,0.01,before testing,1,0.0154459392127554,0.00941390829031278
0.0025,0.01,same n edges,1,0.0147979510529311,0.00789553598542363
0.0025,0.1,testing,2,0.0169238427078148,0.0103249316732463
0.0025,0.1,before testing,2,0.0168902136115251,0.0103249316732463
0.0025,0.1,same n edges,2,0.0169238427078148,0.0103249316732463
0.0025,0.05,testing,2,0.0169660678642715,0.0103249316732463
0.0025,0.05,before testing,2,0.0168902136115251,0.0103249316732463
0.0025,0.05,same n edges,2,0.0169660678642715,0.0103249316732463
0.0025,0.01,testing,2,0.0173572228443449,0.00941390829031278
0.0025,0.01,before testing,2,0.0168902136115251,0.0103249316732463
0.0025,0.01,same n edges,2,0.0179398148148148,0.00941390829031278
0.0025,0.1,testing,3,0.0168367346938776,0.0100212572122684
0.0025,0.1,before testing,3,0.0168024439918534,0.0100212572122684
0.0025,0.1,same n edges,3,0.0168367346938776,0.0100212572122684
0.0025,0.05,testing,3,0.0168797953964194,0.0100212572122684
0.0025,0.05,before testing,3,0.0168024439918534,0.0100212572122684
0.0025,0.05,same n edges,3,0.0168884339815763,0.0100212572122684
0.0025,0.01,testing,3,0.0165998855180309,0.00880655936835712
0.0025,0.01,before testing,3,0.0168024439918534,0.0100212572122684
0.0025,0.01,same n edges,3,0.0167630057803468,0.00880655936835712
0.0025,0.1,testing,4,0.0118069815195072,0.00698451260249013
0.0025,0.1,before testing,4,0.0117827868852459,0.00698451260249013
0.0025,0.1,same n edges,4,0.0118069815195072,0.00698451260249013
0.0025,0.05,testing,4,0.0118251928020566,0.00698451260249013
0.0025,0.05,before testing,4,0.0117827868852459,0.00698451260249013
0.0025,0.05,same n edges,4,0.0118312757201646,0.00698451260249013
0.0025,0.01,testing,4,0.0122306348281887,0.00637716368053447
