TF,EDGE_TYPE,ANALYSIS,TARGET,Log2FC,Pvalue,analysis_id,gene_id,gene_name,ANALYSIS_CUTOFF,ANALYSIS_METHOD,CONTROL,DATA_SOURCE/PUBLICATION,DOI,EXPERIMENT_TYPE,GENOTYPE,GROWTH_MEDIUM,GROWTH_PERIOD_DAYS,TECHNOLOGY/METHOD,TISSUE/SAMPLE,TREATMENTS,TREATMENT_TIME
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G01190,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G01390,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G01790,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G02205,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G02300,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G02390,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G02820,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G03070,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G03360,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G03850,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G03860,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G04280,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G05100,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G05340,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G06080,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G07050,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G07150,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
